Quadrats,site,condition,Description.condition,X,names.sites,depth,pH,habitat
1A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
2A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
3A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
4A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
5A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
6A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
7A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
8A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
9A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
10A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
11A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
12A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
13A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
14A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
15A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
16A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
17A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
18A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
19A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
20A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
21A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
22A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
23A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
24A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
25A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
26A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
27A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
28A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
29A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
30A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
31A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
32A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
33A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
34A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
35A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
36A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
37A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
38A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
39A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
40A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
41A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
42A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
43A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
44A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
45A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
46A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
47A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
48A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
49A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
50A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
51A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
52A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
53A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
54A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
1A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
2A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
3A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
4A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
5A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
6A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
7A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
8A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
9A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
10A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
11A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
12A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
13A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
14A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
15A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
16A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
17A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
18A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
19A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
20A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
21A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
22A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
23A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
24A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
25A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
26A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
27A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
28A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
29A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
30A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
31A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
32A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
33A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
34A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
35A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
36A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
37A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
38A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
39A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
40A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
41A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
42A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
43A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
44A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
45A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
46A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
47A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
48A3b,A3b,CA,cave.ambient.pH,CA2,procida,3,ambient2,cave
1V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
2V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
3V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
4V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
5V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
6V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
7V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
8V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
9V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
10V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
11V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
12V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
13V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
14V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
15V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
16V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
17V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
18V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
19V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
20V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
21V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
22V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
23V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
24V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
25V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
26V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
27V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
28V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
29V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
30V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
31V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
32V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
33V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
34V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
35V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
36V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
37V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
38V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
39V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
40V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
41V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
42V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
43V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
44V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
45V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
46V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
47V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
48V3,V3.low,CL,cave.low.pH,CL,grotta.mago,3,low,cave
1A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
2A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
3A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
4A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
5A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
6A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
7A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
8A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
9A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
10A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
11A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
12A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
13A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
14A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
15A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
16A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
17A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
18A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
19A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
20A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
21A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
22A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
23A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
24A4a,A4a,CoA,coralligenous.ambient.pH,CoA1,catena,40,ambient1,deep_reef
1A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
2A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
3A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
4A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
5A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
6A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
7A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
8A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
9A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
10A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
11A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
12A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
13A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
14A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
15A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
16A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
17A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
18A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
19A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
20A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
21A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
22A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
23A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
24A4b,A4b,CoA,coralligenous.ambient.pH,CoA2,pertuso,40,ambient2,deep_reef
1V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
2V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
3V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
4V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
5V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
6V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
7V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
8V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
9V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
10V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
11V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
12V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
13V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
14V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
15V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
16V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
17V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
18V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
19V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
20V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
21V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
22V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
23V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
24V4,V4,CoL,coralligenous.low.pH,COL,madoninna,40,low,deep_reef
1A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
2A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
3A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
4A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
5A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
6A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
7A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
8A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
9A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
10A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
11A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
12A2a,A2a,RA,reefs.ambient.pH,RA,sant.anna,10,ambient1,reef
1A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
2A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
3A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
4A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
5A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
6A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
7A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
8A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
9A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
10A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
11A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
12A2b,A2b,RA,reefs.ambient.pH,RA,santuario,10,ambient2,reef
1V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
2V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
3V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
4V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
5V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
6V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
7V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
8V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
9V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
10V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
11V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
12V2,V2.low,RL,reefs.low.pH,RL,chiane,10,low,reef
1N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
2N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
3N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
4N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
5N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
6N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
7N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
8N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
9N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
10N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
11N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
12N1,A2,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient2,shallow_reef
1S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
2S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
3S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
4S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
5S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
6S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
7S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
8S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
9S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
10S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
11S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
12S1,A1,SRA,shallow.reefs.ambient.pH,SRA,castello,3,ambient1,shallow_reef
1S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
2S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
3S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
4S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
5S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
6S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
7S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
8S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
9S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
10S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
11S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
12S2,V1.low,SRL,shallow.reefs.low.pH,SRL,castello,3,low,shallow_reef
